instanța	cod	site	email	telefon	fax	program	adresa																		
Curtea de Apel PITEŞTI	CurteadeApelPITESTI	http://www.justitie-ag.ro/, http://portal.just.ro/46/SitePages/prezentare.aspx	ca-pitesti-birp@just.ro, ca-pitesti-arhiva@just.ro	0248-21.93.74; 0248-21.93.75; 0248-21.93.76	0248-223.828	"Arhivă: Luni - Vineri: 09.00-13.00
Relaţii cu publicul: Luni - Vineri: 09.00-13.00"	Str. Victoriei, Nr. 22, cod 110017 Piteşti - Argeş																		
Curtea de Apel PLOIEŞTI	CurteadeApelPLOIESTI	http://portal.just.ro/42/SitePages/prezentare.aspx	ca-ploiesti-info@just.ro; ca-ploiesti@just.ro	Centrala 0244/522.445;0244/522.446 (B.I.R.P.- int.126; Registratura - int.188; Arhiva - int.116)	0244 – 522.452	"Programul de functionare al instantei: Luni - Vineri (7:30 - 15:30)
Program de lucru cu publicul al Arhivei: Luni - Vineri (9:00 - 13:00), Joi (9:00 - 13:00 si 15:00 - 18:00)
Program de lucru cu publicul al Biroului de Informare si Relatii Publice: Luni - Vineri (7:30 - 15:30), Joi (7:30 - 18:30) "	Strada Emil Zola, Nr.4, Ploieşti																		
Curtea de Apel SUCEAVA	CurteadeApelSUCEAVA	http://portal.just.ro/39/SitePages/prezentare.aspx	curteapel-suceava@just.ro	0230-216321	0230-524022	"Program de lucru: zilnic între orele 7:00– 15:00
Program arhivă :  zilnic între orele 09:00 -13:00"	mun. Suceava, Str. Ştefan cel Mare nr. 62 , cod 720062 																		
Curtea de Apel TÂRGU MUREŞ	CurteadeApelTARGUMURES	http://portal.just.ro/43/SitePages/prezentare.aspx	ca-tgmures@just.ro	0265/263.694; 0265/265.908; 0265/269.363; 0265/263.813 	0265/269.199	"Arhiva Penală, I Civilă, A II-a Civilă: Luni – Joi orele 8,00 – 12,00, Vineri - orele 8,00 – 11,00
Registratură: Luni – Joi orele 8,00 – 12,00, Vineri - orele 8,00 – 11,00
Biroul de Informare şi Relaţii Publice: Luni – Vineri orele 8,00 – 13,00"	Str. Justiţiei, nr. 1, Târgu Mureş, Jud. Mureş, Cod. 540069																		
Curtea de Apel TIMIŞOARA	CurteadeApelTIMISOARA	http://portal.just.ro/59/SitePages/prezentare.aspx	ca-tm-secretariat@just.ro	Telefon centrală: 0256/494.650; 0256/498.054; Telefon cabinet: 0256/498.721	Secretariat: 0256-401194, Registratură: 0256-493768 	"Arhiva Şi Registratura : Luni - Vineri 8:30 - 12:30
Biroul De Infromare Şi Relaţii Publice: Luni - Vineri 9 - 11:30, Joi 9 - 11:30 Şi 15 - 18"	Timişoara, Piaţa Ţepeş Vodă nr. 2A																		
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
