instanța	cod	site	email	telefon	fax	program	adresa																		
Judecătoria BAIA DE ARAMĂ	JudecatoriaBAIADEARAMA	http://portal.just.ro/181/SitePages/prezentare.aspx	tatiana.pirvan@just.ro	0252.381.021	0252.381.281	"Programul de lucru al Judecătoriei Baia de Aramă este 8:16
Programul de lucru cu publicul al compartimentului Arhivă şi registratură este 8:00:13:00"	Baia de Aramă, str. Nicu Pereanu nr. 8, judeţul Mehedinţi																		
Judecătoria BAIA MARE	JudecatoriaBAIAMARE	http://portal.just.ro/182/SitePages/prezentare.aspx	jud-baiamare@just.ro; jud-baiamare-reg@just.ro	0262.2182(35-38)	0262.218.244	"- registratură (biroul 15) cu orar:  8:00 – 13:00 
- judecătorul de serviciu  (biroul 15) cu orar : 10:00 – 13:00
- arhivă  (biroul 14) cu orar: zilnic  8:00 – 13:00,  cu exceptia primei/ultimei zi de vineri din fiecare lună
- arhiva veche (biroul 1) cu orar: marţi  10:00 - 13:00"	B-dul Republicii nr. 2A, 430264 Baia Mare, Jud. Maramureş																		
Judecătoria BĂILEŞTI	JudecatoriaBAILESTI	http://portal.just.ro/183/SitePages/prezentare.aspx	judecatoria.bailesti@just.ro	0251.312.457 - Preşedinte; 0251.311.717 - Grefier şef ; 0251.311.111- Arhivă	0251.312.457	...	Bailesti, Str. Victoriei nr. 46, jud. Dolj																		
Judecătoria BĂLCEŞTI	JudecatoriaBALCESTI	http://portal.just.ro/185/SitePages/prezentare.aspx	jud-balcesti@just.ro	0250.840.379	0250.840.857	"Program instanţă  - 7:30 - 15:30
Program arhivă  -  registratură - Luni, Marţi, Miercuri, Joi şi Vineri 9:00 - 13:00; Joi 14:00 - 19 :00
Eliberări certificate - Zilnic - 9:00 - 13:00
Executări penale - Luni orele 9:00 – 13:00; Miercuri orele 9:00 – 13:00
Biroul de informare şi relaţii cu publicul: Luni, Marţi, Miercuri, Joi şi  Vineri: 9:00 - 13:00; Joi 9:00 - 19 :00    
Audienţe Biroul de informare şi relaţii cu publicul: înscrieri pentru audienţe – miercuri – între orele 10:00- 11:00; acordare audienţe - miercuri - între orele - 12:00 – 13:00"	loc. Bălceşti, Str. 1 Decembrie nr.1, jud. Vâlcea																		
Judecătoria BALŞ	JudecatoriaBALS	http://portal.just.ro/184/SitePages/prezentare.aspx	judecatoria-bals@just.ro	0249.450.300	0249.450.111	Luni - Vineri 8,00 - 16,00	Str. Nicolae Bălcescu nr. 1,  cod 235.100, Balş, Judeţul Olt																		
Judecătoria BÂRLAD	JudecatoriaBARLAD	http://portal.just.ro/189/SitePages/prezentare.aspx	jud-barlad@just.ro	0235.414.621; 0235.419.977	0235.414.252; 0235.414.621	"Programul de lucru al instanţei se desfăşoară zilnic între orele 08.00 şi 16.00, de Luni până Vineri.
Programul cu publicul al birourilor Arhivă şi Registratură se desfăşoară zilnic între 09.00 şi 13.00. Programul biroului de informare şi relaţii publice se desfăşoară zilnic în timpul programului de lucru al instanţei, iar în ziua de miercuri a fiecărei săptămâni, programul acestui birou se prelungeşte cu încă două ore, respectiv de la 16.00 la 18.00.
Programul de lucru al biroului Executări penale, se desfăşoară zilnic între orele 09.00 şi 13.00.
"	Strada Republicii Nr. 277, Barlad, Vaslui																		
Judecătoria BECLEAN	JudecatoriaBECLEAN	http://portal.just.ro/186/SitePages/prezentare.aspx	judecatoria-beclean@just.ro	0263.343.817	0263.343.235	"Activitatea se desfăşoară potrivit programului de lucru prevăzut în Regulamentul de organizare interioară a instanţelor respectiv între orele 7,30-15,30.
Programul de acces al publicului la sectoarele de activitate de interes este stabilit potrivit regulamentului, după cum urmează:
- Arhivă Registratură: zilnic între orele 9,00 - 13,00.
- Birou informaţii si relaţii cu publicul: zilnic între orele 7,30 - 15,30.
Biroul de informare şi relaţii publice: 
LUNI 7,30-15,30
MARŢI 7,30-18,30
MIERCURI 7,30-15,30
JOI 7,30-15,30
VINERI 7,30-15,30
"	Str.Piaţa Libertăţii,Nr.13, Cod Poştal 425100, Judeţul Bistriţa-Năsăud																		
Judecătoria BEIUŞ	JudecatoriaBEIUS	http://portal.just.ro/187/SitePages/prezentare.aspx	jud-beius@just.ro; jud-beius-reg@just.ro; jud-beius-arh@just.ro	0259.321.433	0259.321.474	"Program de funcţionare al instantei: zilnic între orele 8:00 - 16:00 timp de 5 zile pe săptămână.
Registratura şi arhiva: - zilnic intre orele 8:30 - 12:30, 
- în zilele de luni şi joi intre orele 13:00 - 15:00, program experti.
- Biroul Relaţii şi Informaţii Publice: 9:00 - 16:00, timp de 5 zile pe săptămână, iar în zi de joi şi între orele 16:00 - 18:00.
"	"Beiuş, Str. Horia nr. 11, jud. Bihor
"																		
Judecătoria BICAZ	JudecatoriaBICAZ	http://portal.just.ro/188/SitePages/prezentare.aspx	jud-bicaz@just.ro	0233.254.199	0233.253.299	"1. Programul de lucru în instanţă: 08,00-16,00
2. Sedinţele de judecată încep de regulă la ora 9,30 sau la ora înscrisă pe citaţie.
3. Program compartimente:
          a) registratură - arhivă - luni - vineri între orele 09,00-13,00;
          b) preluări cereri divorţ - registratură - arhivă - luni - vineri - 09,00-13,00;
          c) birou informare şi relaţii publice - zilnic şi coincide cu programul de lucru al instanţei, cu       
              excepţia zilei de marți, când programul este de la ora 10,00 la ora 18,00;
          d) la compartimentul executări penale, în fiecare zi între orele 9,30-12,30;
          e) la grefierul şef, în fiecare zi, cu excepţia zilei de vineri, între orele 9,00-13,00."	Bicaz, Str. Republicii nr. 21, 615100, jud. Neamţ																		
Judecătoria BISTRIŢA	JudecatoriaBISTRITA	http://portal.just.ro/190/SitePages/prezentare.aspx	judecatoriabistrita@just.ro	0263.212.452	0263.213.899	"Activitatea se desfăşoară potrivit programului de lucru prevăzut de Regulamentul de organizare interioară, respective intre orele 7,30 - 15,30.
Programul de acces al publicului la sectoarele de activitate de interes este stabilit potrivit regulamentului, arătat după cum urmează:
- Registratură (camera 58, etaj 1): Luni-Vineri între orele  7:30 – 11:30
- Depuneri cereri de chemare în judecată: Luni-Vineri între orele  7:30 – 11:15
- Depuneri cereri de divorţ: Luni-Vineri între orele  11:15 – 11:30
- Arhivă (camera 56, etaj 1): Luni-Vineri între orele  7:30 – 11:30
- Birou executări penale (camera 40, parter): Luni-Vineri între orele  8:00 – 12:00
- Birou executări civile (camera 39, parter): Luni-Vineri între orele  8:00 – 12:00
- Biroul de Informare şi Relaţii Publice (camera 76, etaj1): L, M, M, V între orele 7:30 – 15:30 şi Joi între 7:30 – 18:30
"	Str. Alba-Iulia nr.1, etaj 1, cod poştal 420178, Bistriţa, Jud. Bistriţa-Năsăud																		
Judecătoria BLAJ	JudecatoriaBLAJ	http://portal.just.ro/191/SitePages/prezentare.aspx	judecatoria.blaj@just.ro	0258.710.899	0258.712.299	"Program de funcţionare:​ ​Luni - Vineri ​7:30 – 15.30
​Program de audienţe: ​Marţi ​9:00 - 11:00; ​ ​Joi ​9:00 - 11:00"	Blaj, Bd. Republicii nr. 14, judeţul Alba, cod 515400																		
Judecătoria BOLINTIN VALE	JudecatoriaBOLINTINVALE	http://portal.just.ro/192/SitePages/prezentare.aspx	jud-bolintin@just.ro	0246.270.867	0246.270.584	"Programul de funcţionare - Luni – Vineri orele 08.00 - 16.00 
Arhivă - Registratură - Înregistrări federaţii, asociaţii şi fundaţii - Luni – Vineri orele 09.00 - 13.00
Birou de informare şi relaţii publice - Luni – Vineri orele 09.00 - 13.00; Joi orele 09.00 - 13.00, 16.00 -  18.00
Biroul Local de Expertize Tehnice şi Contabile, Tribunalul Giurgiu - Luni - Vineri orele 8.30 - 13.00
"	Bolintin Vale, Strada Republicii, Judeţul Giurgiu, Cod poştal 085100																		
Judecătoria BOTOŞANI	JudecatoriaBOTOSANI	http://portal.just.ro/193/SitePages/prezentare.aspx	jud-botosani@just.ro	0231.511.017	0231.512.915	"Program primire cereri: Zilnic, orele 9,00 - 13,00
Arhiva: luni, miercuri și vineri, orele 9,00 - 12,00 (vineri - eliberări de copii)
 
 
1. Program de lucru instanţă: 7,30 - 15,30
2. Şedinţele de judecată, în materie civilă, încep la ora 830 iar în materie penală la ora 9,00.
3. Program cu publicul la arhiva: zilnic, 9,00-13,00
4. Pronunţări: zilnic,15,00 - 15,30
5. Program judecător serviciu: zilnic, 8,00 - 12,00
6. Program primire acţiuni de divorţ: miercurea, 12,00 - 14,00
7. Eliberări copii: miercurea şi vinerea
8. Eliberări acte autentice şi hotărări judecătoreşti 1968-2003 la sediul din P-ţa Revoluţiei: joia 14,00 - 16,00
9. Eliberări de certificate constatatoare: zilnic, 12,30 -13,00
10. Program de studiu al dosarelor de către avocaţi şi experţi: marţi şi joi, 14,30 -15,30
11. Asociaţii şi fundaţii: luni şi joi, 13,00 - 15,00
12. Program Birou de informare şi relaţii cu publicul: zilnic, 8,00 - 15,30; miercurea, 8,00 - 18,00.
13. Program de audienţă: conform ROI nu există program de audienţă.
14. Program de încasare a cheltuielilor judiciare: zilnic, între orele 8,00 - 12,00, Biroul Exec. Penale - cam 2."	Botoşani, Bd. Mihai Eminescu, Nr. 38, jud. Botoşani																		
Judecătoria BRAD	JudecatoriaBRAD	http://portal.just.ro/195/SitePages/prezentare.aspx	judecatoria.brad@just.ro	0254.612.639	0254.610.033	"Program de lucru al judecatoriei Brad: Luni – Vineri 07:30 – 15:30
Programul biroului de informare si relatii cu publicul: Luni - Vineri 09:00 - 13:00. 
Registratura – arhiva: Luni – Vineri 09:00 – 13:00"	Brad, str.Avram Iancu nr.36, jud. Hunedoara																		
Judecătoria BRĂILA	JudecatoriaBRAILA	http://portal.just.ro/196/SitePages/prezentare.aspx	jud-braila-brp@just.ro	0239.613.975; 0239.615.120 	0239.613.975	"Judecătoria Brăila are programul de lucru între orele 7,30-15,30.
Arhiva instantei - luni-vineri orele 8,00-12,00
Arhiva veche (camera 52) - joi orele 10,00-12,00
Biroul de Informare şi Relatii Publice (camera 3) - Vineri 10,00-12,00
Audienţe Judecător delegat B.I.R.P. - vineri - ora 10,00 - 12,00 si 16.00 - 18.00
Asociatii şi fundatii - Program eliberare documente: MARŢI orele 10.00 - 12.00 de la grefierul delegat.
Asociatii de proprietari- (camera 12) - Marti orele 13,00-15,00
Divorturi - Birou primiri cereri – luni-vineri orele 09,00 - 12,00"	Braila, Calea Călăraşi nr. 47, jud. Braila																		
Judecătoria BRAŞOV	JudecatoriaBRASOV	http://portal.just.ro/197/SitePages/prezentare.aspx	jud-brasov@just.ro ; judecatoria-brasov@just.ro	0268.412.859	0268.413.706	"Primiri actiuni, divorţuri - cam.24 
Luni- vineri: 9:00-9:30 - avocati, consilieri juridici, executori
Luni-vineri: 9:30-11:30 - justitiabili, avocati, consilieri juridici
Luni-vineri: 11:30-12:00- avocati, consilieri juridici
Legalizări hotărâri judecătoreşti (eliberări) - Cam.22 - Luni- vineri : 11:00-12:00
Registratura - Cam.19 - Luni-vineri : 8:30-12:30
Arhiva penală - Cam.25 
Luni- vineri: 8:30-10:30 avocaţi, jurişti si experti
Luni- vineri: 10:30-12.30 justitiabili
Arhiva civilă - Cam.23  
Luni- vineri: 8:30-10:30 avocaţi,jurişti si experti
Luni- vineri: 10:30-12.30 justitiabili
Arhiva veche - B-dul eroilor nr.5, parter - Marţi : 9:00-12:00; Joi: 9:00-12:00"	Municipiul Braşov, b-dul 15 Noiembrie  nr.45, Cod poştal 500097																		
Judecătoria BREZOI	JudecatoriaBREZOI	http://portal.just.ro/198/SitePages/prezentare.aspx	cristina-radu@just.ro	0250.778.993 	0250.778.994	08.00 - 16.00	Str. Eroilor, nr. 163, Brezoi, Vâlcea																		
Judecătoria BUFTEA	JudecatoriaBUFTEA	http://portal.just.ro/94/SitePages/prezentare.aspx	jud-buftea@just.ro	021.352.55.12	0372.218.860	"REGISTRATURĂ
luni, marţi, miercuri, joi şi vineri – orele 09.00 – 13.00
ARHIVĂ
luni, marţi, miercuri, joi şi vineri – orele 09.00 – 13.00
BIROUL DE ASOCIAŢII ŞI FUNDAŢII
Primiri cereri – LA REGISTRATURĂ - luni, marţi, miercuri, joi, vineri
Eliberări cereri – Biroul de Asociaţii şi Fundaţii - luni, marţi, miercuri, joi, vineri - orele 09.00 – 13.00  
EXECUTĂRI PENALE 
luni, marţi, miercuri, joi şi vineri - orele 09.00-13.00
ÎNCUVIINŢĂRI SILITE
Primiri cereri - luni, marţi, miercuri, joi şi vineri  orele 09.00 – 13.00 la  registratură
Eliberări acte - luni, marţi, miercuri şi vineri   orele 9.00 – 13.00 cam.4
ELIBERĂRI SENTINŢE LEGALIZATE
Se depun la arhivă în zilele de luni, marţi, miercuri, joi şi vineri orele 09.00 – 13.00 - la arhiva
Se eliberează în zilele de luni, marţi, miercuri, joi şi vineri orele 09.00 – 13.00 – la arhivă
Cererile de eliberare a certificatelor de grefă se depun zilnic de luni, marţi, miercuri, joi şi vineri la serviciul arhivă,  între orele 09.00 – 13.00 şi se eliberează în zilele de luni, marţi, miercuri, joi şi vineri la serviciul arhivă, între orele 09.00 – 13.00
BIROUL DE INFORMARE ŞI RELAŢII PUBLICE
Luni, marţi, miercuri şi vineri orele 09.00 – 16.00
Joi 09.00 -18.00"	Buftea, strada Ştirbei Vodă nr.24, judeţul Ilfov, Cod Poştal 070000																		
Judecătoria BUHUŞI	JudecatoriaBUHUSI	http://portal.just.ro/199/SitePages/prezentare.aspx	judecatoria-buhusi-gref@just.ro	0234.265.744	0234.265.744	"Programul de lucru al instanţei este de luni până vineri, de la ora 8.00 la ora 16.00. 
Şedinţele de judecată se desfăşoară în zilele de luni, marţi, miercuri şi joi, începând cu ora 9.00. 
Accesul publicului în sediul instanţei este permis astfel: 
- în incinta Judecătoriei Buhuşi după 30 minute de la începerea programului; 
- în sala de judecată cu 30 minute înainte de deschiderea şedinţelor de judecată; 
- în biroul grefierului şef zilnic între orele 9.00 – 13.00; 
- în arhiva curentă pentru consultarea dosarelor şi solicitarea de relaţii şi informaţii, 
zilnic între orele 9.00 – 13.00, iar miercuri între orele 10.00 -17.00; 
- în biroul grefierului însărcinat cu primirea cererilor, între orele 9.00 – 13.00; 
- la biroul de relaţii publice se acordă audienţe joi de la ora 10.00 la ora 13.00, iar în cazul în care este necesar, audienţele se ţin de preşedintele instanţei după acelaşi program.
"	Str. Dr. Carol Davilla nr. 1, Buhuşi, jud. Bacău																		
Judecătoria BUZĂU	JudecatoriaBUZAU	http://portal.just.ro/200/SitePages/prezentare.aspx	jud.buzau@just.ro	0238.719.440	0238.717.962	"Program de funcţionare al instanţei:
luni-vineri, intre orele  8:00 – 16:00
Compartimentul ARHIVA (LA SUBSOL) are următorul program cu publicul:
luni-vineri, intre orele  9:00 – 12:00
Registratura şi Grefierul cu atribuţiuni de judecător de serviciu (LA CAM.39 PARTER) au următorul program cu publicul:
luni-vineri, intre orele  8:30 – 12:30"	Buzău, Municipiul Buzău, Bd. Nicolae Bălcescu, Nr. 8																		
Judecătoria CALAFAT	JudecatoriaCALAFAT	http://portal.just.ro/201/SitePages/prezentare.aspx	judecatoria.calafat@just.ro	0251.231.910	0251.230.711	...	Bulevardul  Tudor Vladimirescu nr. 29, Calafat, jud. Dolj																		
Judecătoria CĂLĂRAŞI	JudecatoriaCALARASI	http://portal.just.ro/202/SitePages/prezentare.aspx	jud.calarasi@just.ro	0242.316.053	0242.316.851	"Program de funcţionare judecătoria Călăraşi
Luni – vineri: 08.00 – 16.00
Program cu publicul 
Arhiva : 
Luni - vineri : 8,30 - 12,30
Biroul de informare şi relaţii publice 
Luni : 8,00- 19,00 
Marţi -vineri : 8,00- 16,00 
Executări civile : 
Luni : 8,30 – 13,30 
Vineri : 8,30 - 13,30 
Executări penale : 
Luni : 8,30 – 13,30 
Vineri : 8,30 - 13,30 
Asociaţii şi fundaţii : 
Joi : 9,30 - 12,30 
Program judecător de serviciu: 
Luni – vineri: 8,30 – 12,30"	"Municipiul Călăraşi, Str. Bucureşti nr. 106 cod poştal 910068, judeţul Călăraşi
"																		
Judecătoria CÂMPENI	JudecatoriaCAMPENI	http://portal.just.ro/203/SitePages/prezentare.aspx	maria.crisan@just.ro	0258.771.920	0258.771.660	"Arhiva – Registratura - zilnic 8,30-12,30
Biroul de informare publica - luni 16-19, zilnic 8-16"	Str. Horea, nr. 12, Câmpeni, judeţul Alba, Cod poştal : 515500																		
Judecătoria CÂMPINA	JudecatoriaCAMPINA	http://portal.just.ro/204/SitePages/prezentare.aspx	jud.campina@just.ro	0244.333.045	0244.372.222	"In perioada 01 Iulie 2014 - 05 Septembrie 2014 programul de lucru este:
Grefierul Sef:
Luni - Vineri :10.00-12.00
Executari Penale:
Luni - Vineri :10.00-12.00
Biroul de informatii:
Luni - Vineri :10.00-12.00
Birou persoane juridice: Asociatii si Fundatii     
Luni - Vineri : 10.00-12.00
Arhiva:                    
Luni - Vineri: 10.00-12.00
Registratura:               
Luni - Vineri : 10.00-12.00
Judecator serviciu:     
Luni - Vineri : 10.00-12.00
Şedinţele de judecată încep la ora 8.30.
"	Str. 1 Decembrie 1918, nr. 14, cod 105600, Campina, jud. Prahova																		
Judecătoria CĂMPULUNG	JudecatoriaCAMPULUNG	http://portal.just.ro/205/SitePages/prezentare.aspx	judecatoria-campulung@just.ro	0248.512.016	0248.512.224	"INSTANŢĂ: 7:30-15:30 
ŞEDINTE DE JUDECATĂ: 8:30                
JUDECĂTOR DE SERVICIU: 8:30-12:30 
ARHIVĂ: 
Pentru: - primiri cereri, studiu dosare, solicitat copii xerox de pe actele din dosar, informaţii privind dosarul.
Luni 9:00-13:00
Marţi 9:00-13:00, 15:00-17:00
Miercuri 9:00-13:00
Joi 9:00-13:00
Vineri 9:00-13:00 
Pentru eliberarea actelor solicitate: - copii de pe actele din dosar, certificate de grefă, certificate privind dezbaterea succesiunii, copii legalizate:
Luni – Vineri 14:00-15:30
EXECUTĂRI PENALE program cu publicul:  
Vineri 09:00-12:00
EXECUTĂRI CIVILE
Joi 09:00-12:00"	Str. Emilian Paveliu nr. 2, Câmpulung - Argeş																		
Judecătoria CÂMPULUNG MOLDOVENESC	JudecatoriaCAMPULUNGMOLDOVENESC	http://portal.just.ro/206/SitePages/prezentare.aspx	jud-cmplngmold-gref@just.ro	0230.312.444	0230.312.444	Programul de lucru al instanţei: luni, marţi, miercuri, joi, vineri între orele 08 - 16	Calea Bucovinei, Nr. 62-64, Campulung Moldovenesc, judeţul Suceava, cod 725100																		
Judecătoria CARACAL	JudecatoriaCARACAL	http://portal.just.ro/207/SitePages/prezentare.aspx	jud-caracal@just.ro	0249.511.030	0249.516.689	"Arhiva:
09:00 - 13:00
Camera comunicare acte procedurale:
08:00 - 14:00
Judecătorul de seviciu:
09:00 - 13:00​"	Str. Iancu Jianu nr. 37, Caracal, jud. Olt																		
Judecătoria CARANSEBEŞ	JudecatoriaCARANSEBES	http://portal.just.ro/208/SitePages/prezentare.aspx	jud-caransebes-brp@just.ro	0255.511.210	0255.514.975	"Program de funcţionare, al instanţei: luni-vineri, intre orele 7:30 - 15:30
Program de lucru cu publicul, al compartimentelor auxiliare:
Arhiva: luni – miercuri 8.30 – 12.30; joi 8.30 – 13.30
Registratura: luni – vineri 8.30 – 12.30
Biroul Informare si Relatii Publice: luni – vineri 8.30 – 15.30; joi 15.30 – 17.30
Biroul Executari Penale: marti – joi 10.00 – 11.00
Cererile de divorţ se depun, in fiecare zi, intre orele 08:30 - 12:30, la Registratura instanţei."	Caransebeş, Str. Mihai Viteazu nr. 4, jud. Caras-Severin																		
Judecătoria CAREI	JudecatoriaCAREI	http://portal.just.ro/218/SitePages/prezentare.aspx	judecatoria-carei@just.ro	0261.861.184	0261.861.155	"Programul de activitate al instanţei
Luni - vineri 7:30 - 15:30 
Arhiva şi registratura   
Program pentru public şi avocaţi
Luni - vineri 8:00 - 12:00    
Program  pentru experţi
Luni - vineri 7:30 - 15:30
Biroul de informare şi relaţii publice
Luni - vineri 7:30 - 15:30
Marţi 7:30 - 18:30
"	Str. 1 Decembrie 1918 nr. 38, Carei, jud. Satu Mare																		
Judecătoria CHIŞINEU CRIŞ	JudecatoriaCHISINEUCRIS	http://portal.just.ro/210/SitePages/prezentare.aspx	nicoleta.iuhos@just.ro	0257.350.692	0257.350.231	"Arhiva
luni-vineri 830-1230
joi 830-1230; 13-15
 
Registratura
luni-vineri 830-1230
joi 830-1230; 13-15
 
Judecător de serviciu
luni-vineri 830-1230
joi 830-1230; 13-15
 
Birou de informare si relații publice
luni-vineri 8-16
marți 8-19 
"	Chişineu Criş, str.Gării nr.24, jud.Arad																		
